tweet_id,customer_text,draft_reply,retrieved_evidence,human_relevance,human_groundedness,human_safety,human_tone,human_actionability,human_verdict,human_reason,relevance,groundedness,safety,tone,actionability,verdict
327146,@SpotifyCares Can’t login to my account via Facebook or otherwise. Error 404 Have reset connection no luck. Help!!,Thanks for reaching out. A support specialist will review this and help you as soon as possible.,1380905: @441430 Alright. Can you check if reinstalling the app makes a difference? Just follow the steps at https://t.co/46sWVpIvlI. Keep us posted /DV,3,3,5,4,2,fail,,,,,,,
2310872,When will @115888 fully support the iPhone X? 🤦🏾‍♂️,Thanks for reaching out. A support specialist will review this and help you as soon as possible.,"2234714: @471616 2: For now, we'd suggest suggest enabling automatic downloads to get the latest update once it's available: https://t.co/vHqjftXuQ0 /LP",2,2,5,4,2,fail,,,,,,,
293454,@SpotifyCares Just voted on it. Thanks again you lovely Swedes.,Thanks for reaching out. A support specialist will review this and help you as soon as possible.,"936222: @341956 You're welcome! If you ever need us again, just say the word. We're always here for you 🙂 /MT",1,2,5,4,1,fail,,,,,,,
1492588,@115888 honestly my ocd is suffering yall need a button to change your username,Thanks for reaching out. A support specialist will review this and help you as soon as possible.,"2131389: @627273 Hey there! It’s not possible to change your Spotify username, but you have some options. More info here: https://t.co/8fvibjSl2q /PX",2,2,5,4,2,fail,,,,,,,
1971552,@SpotifyCares We are trying to add a member of the family to our family plan and he keeps getting an oops something went wrong everytime,Thanks for reaching out. A support specialist will review this and help you as soon as possible.,"506064: @236093 Hi Anthony, help's arrived! Could you DM us yours and your wife's usernames and email addresses? We'll take a look backstage /JQ https://t.co/ldFdZRiNAt",3,3,5,4,2,fail,,,,,,,
1658079,"I wish @115888 had put @41743's new single #RoomForLove on their ""This is: Spice Girls"" playlist tbh",Thanks for reaching out. A support specialist will review this and help you as soon as possible.,"467621: @226307 Hi Alex! Our Curation team are independent &amp; use taste, data, research, and trends to create playlists, but we’ll pass on your suggestion /CE",2,2,5,4,2,fail,,,,,,,
184612,"@115888 how do I get a podcast list to refresh on the Mac app? I subscribe to podcasts, but when I click into a podcast that I subscribe to (filtered by ""All Episodes"") it seems to use a cached list. I have to quit the app and restart, and new episodes appear",Thanks for reaching out. A support specialist will review this and help you as soon as possible.,506019: @236079 We've just sent a DM your way. Let's carry on chatting there 🙂 /CG,3,3,5,4,2,fail,,,,,,,
723048,@SpotifyCares No. I already tried that...,Thanks for reaching out. A support specialist will review this and help you as soon as possible.,370876: @203828 No worries. Can you DM us your account's email address? We'll take a look backstage /DV https://t.co/ldFdZRiNAt,3,3,5,4,2,fail,,,,,,,
723050,@SpotifyCares Seems to be working! Thank you🤘,Thanks for reaching out. A support specialist will review this and help you as soon as possible.,2669358: @751822 Great! Glad to hear it's working now. Just let us know if it happens again or if we can help with anything else. https://t.co/m4HWSbgHVZ 😉 /NY,2,2,5,4,1,fail,,,,,,,
2394577,@115888 someone has hacked my account and replaced my albums with Mexican stuff I've never heard of. Help quickly please! I have 10 years of playlists on here https://t.co/IU49dI1CPO,Thanks for reaching out. A support specialist will review this and help you as soon as possible.,"2866608: @796170 Hey Denis, that's not cool! Can you DM us your account's email address or username? We'll take a look backstage /MT https://t.co/ldFdZRiNAt",2,2,5,4,2,fail,,,,,,,
67724,"@SpotifyCares Dear Mr/Ms, already 2 day i'm try to register a new account but can't, why? please help me and thank you.",Thanks for reaching out. A support specialist will review this and help you as soon as possible.,"1835045: @550359 Alright. What country are you currently located in? If you could also DM us the email address you'd like to use, that'd be great /AY https://t.co/ldFdZRiNAt",3,3,5,4,2,fail,,,,,,,
1264068,@SpotifyCares It was recently. What changed ?,Thanks for reaching out. A support specialist will review this and help you as soon as possible.,701741: @287544 Hey there! Can you DM us your account's email address? We'll take a look /RB https://t.co/ldFdZRiNAt,2,2,5,4,2,fail,,,,,,,
479846,"@SpotifyCares Looks like just 'High' and 'All of Your Love' but the rest of the music under that particular artist is a little skeptical too. Half of it seems to be rap and the other half is instrumental, not sure if that's right either. Thanks for replying!",Thanks for reaching out. A support specialist will review this and help you as soon as possible.,"2246050: @654607 Taylor Swift's 'Reputation' isn't available to stream just yet – stay tuned! For now, check out the singles: https://t.co/3h0TnPWP0c 🙂 /VK",2,2,5,4,2,fail,,,,,,,
1865438,"@SpotifyCares figured out my phone issue. Have the latest version of Spotify, I can now discover mode again! #MusicToMeEars #FindingNewTunes",Thanks for reaching out. A support specialist will review this and help you as soon as possible.,"172492: @156310 Thanks. Can you try logging out, restarting your device, then logging back in? Let us know if that helps /QI",1,2,5,4,1,fail,,,,,,,
2599818,How does one get a spoti.fi shortlink? @115888,Thanks for reaching out. A support specialist will review this and help you as soon as possible.,"866312: @325700 Hey, we can help! Can you tell us what's happening exactly and on what device? /JM",3,3,5,4,2,fail,,,,,,,
1739265,"@SpotifyCares Between songs and sometimes when I start the PL, it will play songs not on there.",Thanks for reaching out. A support specialist will review this and help you as soon as possible.,"885120: @330177 Hmm. What device, operating system, and app version are you using? We'll see what we can suggest /LP",3,3,5,4,2,fail,,,,,,,
1294213,"When is @115888 gunna put Somo's version of ""Young and Beautiful"" up to download? It's my only wish lately..",Thanks for reaching out. A support specialist will review this and help you as soon as possible.,"772036: @304407 Nice! We're glad it's working fine now. Get back to us if it starts misbehaving again. If there's anything else for now, let us know /AR",2,2,5,4,2,fail,,,,,,,
462668,"@SpotifyCares The app on my Galaxy S8+ seems to be broken. When I attempt to launch it, I see nothing but a black screen. Also, it constantly switches to offline mode between listening sessions. HELP",Thanks for reaching out. A support specialist will review this and help you as soon as possible.,2669358: @751822 Great! Glad to hear it's working now. Just let us know if it happens again or if we can help with anything else. https://t.co/m4HWSbgHVZ 😉 /NY,3,3,5,4,2,fail,,,,,,,
2050205,@SpotifyCares Done. Thank you! I would love to have a Spotify app that is standalone on the series 3 watch.,Thanks for reaching out. A support specialist will review this and help you as soon as possible.,674456: @280848 Great! We've just replied to your DM. We'll carry on chatting there /K,2,2,5,4,2,fail,,,,,,,
