tweet_id,customer_text,agent_reply,sampling_bucket,intent,route,route_reason,reply_grounded,notes,annotation_source
2023229,@115888 im trying to set up my Unidays student discount but it says its associated with another account when its not. Any help please,"@598367 Hi Lauren, help's here! Can you DM us your account's email address? We'll take a look backstage and see what we can suggest /NY https://t.co/ldFdZRiNAt",,account_access,escalate,A student-account association issue requires specialist help.,yes,Human-approved label.,human_reviewed
2434763,@SpotifyCares I don't remember keying in an address for the account and I logged in with my Facebook account that has no address so...,"@698641 Hey Jason, help's arrived! We've just replied to your DM. Let's carry on chatting there /DV",,account_access,escalate,The account setup issue is unclear and needs specialist follow-up.,partly,Human-approved label.,human_reviewed
515462,"@SpotifyCares Hi, I just got an email to ""confirm my account,"" saying I'm almost done creating my Spotify account. Only I'm not trying to create an account, I think someone is using my email address.",@238741 Hey Matt! Could you send us a DM with your email address? We'll take a look backstage /LO https://t.co/ldFdZRiNAt,,account_access,escalate,Possible account misuse requires specialist help.,yes,Human-approved label.,human_reviewed
163740,"@SpotifyCares no, i turned off the notifs sounds because i thought that was the problem! snapchat is one of the main ones. sometimes the music just shuts off out of nowhere. im the only one that uses my spotify account","@153882 Can you DM us your account's username or email address, along with the model and version of your iOS device? We'll check things backstage /MU https://t.co/ldFdZRiNAt",,product_service_issue,escalate,Unexpected playback stoppage requires troubleshooting and specialist follow-up.,yes,Human-approved label.,human_reviewed
281320,hey @115888 can i get a profile photo without a facebook account or nah?,"@183032 Hey there! Right now it's not possible, and we have some info about this from our devs here: http://t.co/Wahm6K8Adr /CT",,information_request,auto_handle,A low-risk feature question has a directly supported answer.,yes,Human-approved label.,human_reviewed
2850068,"@792507 @792508 @SpotifyCares Sure will let you know. They're checking my account to see why this is.
I agree it's superweird",@417811 We've just sent you a DM 🙂 /PX,,account_access,escalate,The account issue is unclear and needs specialist follow-up.,partly,Human-approved label.,human_reviewed
327146,@SpotifyCares Can’t login to my account via Facebook or otherwise. Error 404 Have reset connection no luck. Help!!,"@193967 Hey, help's here! Can you DM us your account's email address? We'll take a look backstage /JN https://t.co/ldFdZRiNAt",,account_access,escalate,Login failure requires private specialist help.,yes,Human-approved label.,human_reviewed
113827,"@SpotifyCares My Facebook account is no longer active so I am unable to log into new devices, however I am still somehow logged into my account on several devices... how can I log in using my user ID: 1252945587",@141283 Hey there! We've just sent you a bit more info over DM. We'll carry on helping out there /PB,,account_access,escalate,Inactive Facebook login requires private specialist help.,yes,Human-approved label.,human_reviewed
67724,"@SpotifyCares Dear Mr/Ms, already 2 day i'm try to register a new account but can't, why? please help me and thank you.",@821792 Hey Missiellee! We've just sent a DM your way. Let's carry on chatting there /GS,,account_access,escalate,Account registration failure requires specialist follow-up.,partly,Human-approved label.,human_reviewed
2705180,"@SpotifyCares Hi Spotify! I’ve recently become a student, is there anyway to change my account? Cheers 👍",@759767 Hey there! You can sign up for the student discount here: https://t.co/xbU7d8wpTJ. Let us know how it goes /DF,,account_access,escalate,Changing account status requires specialist follow-up.,yes,Human-approved label.,human_reviewed
1816164,@SpotifyCares i need help logging into my account its saying i dont exist,@545575 Hey Tori! Could you send us a DM with your account's email address or username? We'll take a look backstage /FR https://t.co/ldFdZRiNAt,,account_access,escalate,Missing account during login requires specialist help.,yes,Human-approved label.,human_reviewed
2919368,Having to log into @129941 because @115888 is down. Also slitting my wrists.,@808033 Hey there! Everything should be running smoothly now. Let us know if this is still happening /GS,,other,escalate,Self-harm language and an unclear service issue require immediate human escalation.,no,Human-approved label.,human_reviewed
2859053,"Hey @115888! Can't log in. Can't request a new password because (My email address) ""doesn't exist"". Can't set up a new account because (my email address) is ""already taken."" Can't request help via the website because I need to be logged in. Great customer service, there, guys!!!",@794526 Hey Terri! Can you send us your account's email address via DM? We'll check this out backstage /CE https://t.co/ldFdZRiNAt,,account_access,escalate,Multiple login and recovery failures require specialist help.,yes,Human-approved label.,human_reviewed
708098,@SpotifyCares just tried to log into my Spotify account and won’t let me in. Don’t recognise my email address.,@289268 Hey Chris! Can you DM us your account's username and email address? We'll take a look backstage /SY https://t.co/ldFdZRiNAt,,account_access,escalate,Unrecognized account email requires private specialist help.,yes,Human-approved label.,human_reviewed
594072,"@115888 Im trying to add a new account to my family account but it says the account is allready registered with facebook, however when i click the login with facebook button it says there's the facebookaccount is not registered with spotify","@260713 Hey Kris, help's here! Could you send us the account's email address via DM? We'll take a look and see what we can suggest 🔍 /DB https://t.co/ldFdZRiNAt",,account_access,escalate,Conflicting Facebook and Spotify account records require specialist help.,yes,Human-approved label.,human_reviewed
1023905,@SpotifyCares Every single time I try to get Premium I see this can you help https://t.co/wU64BpuPwE,@362303 Hi there! We've just sent a DM your way. Let's carry on chatting there /FR,,billing_payment,escalate,Premium purchase problem requires private specialist help.,partly,Human-approved label.,human_reviewed
2054450,"Just set up my premium account and everything, but gives me none of the perks. Help?! @SpotifyCares","@607608 Hey Matt, help's here! Can you DM us your account's username or email address? We'll take a look under the hood /RS https://t.co/ldFdZRiNAt",,billing_payment,escalate,Missing Premium benefits require specialist review.,yes,Human-approved label.,human_reviewed
1874687,@117153  i need to know about my premium account because  did not working,@559662 Hey there! The cavalry's here. Could you DM us your account's email address? We'll take a look under the hood /KB https://t.co/ldFdZRiNAt,,billing_payment,escalate,Premium not working requires specialist review.,yes,Human-approved label.,human_reviewed
2135046,@117153 Hi. I have a problem with my spotify family premium plan!!,"@628142 Hi Karen! Don’t worry, we can help. What’s happening exactly? Can you DM us your account's username/email address? We'll check it out 🔍 /TR https://t.co/ldFdZRiNAt",,billing_payment,escalate,Family Premium problem requires specialist review.,yes,Human-approved label.,human_reviewed
450872,"@SpotifyCares iPhone. But the problem is with my account I want to manage the accounts of my premium for family, and one of them is missing and I want to remove that missing account from my plan.",@221904 Okay. Can you DM us your account's username and email address? We'd love to help out /JI https://t.co/ldFdZRiNAt,,account_access,escalate,Managing family accounts requires private specialist help.,yes,Human-approved label.,human_reviewed
1426064,@SpotifyCares Let me know when those premium offers happen. For now I'll continue to work with your business model by making new accounts every time you have a promo.,"@381248 We wouldn't recommend that, as keeping multiple accounts can cause login confusion. In the meantime, just keep your eyes peeled for more exciting offers in the future. Give us a shout if you ever need us again. We'd be... https://t.co/LgAM6ky9Vv /KB",,account_access,escalate,Multiple accounts and promotions create an account-management concern.,yes,Human-approved label.,human_reviewed
2509529,"@SpotifyCares the card on my premium account was changed, how long will it be until I get premium up again?",@715379 Hey Liz! Can you DM us your account's email address? We'll check things backstage /KT https://t.co/ldFdZRiNAt,,billing_payment,escalate,Changed payment card and Premium status require specialist review.,partly,Human-approved label.,human_reviewed
1739257,"@117153 I've been waiting for the email that confirms My premium account for college students,",@524911 Hi Luis. Can you DM us your account's email address? We'll take a look backstage /LM https://t.co/ldFdZRiNAt,,billing_payment,escalate,Student Premium confirmation requires specialist review.,yes,Human-approved label.,human_reviewed
883623,"Trying to add my family to Premium to Family plan but ""3 - oops there is a problem"" error message keeps popping up. @SpotifyCares pls help!",@329828 Hi Noel! Can you DM us the email addresses on your and your member's accounts? We'll take a look backstage /AU,,billing_payment,escalate,Family Premium enrollment error requires specialist review.,yes,Human-approved label.,human_reviewed
2035547,"@SpotifyCares hello, i'm pretty sure my (premium) account got hacked today. Now what?","@601800 Hey Remy, that's not cool! Can you DM us your account's email address and username? We'll take a look backstage /JX https://t.co/ldFdZRiNAt",,account_access,escalate,A hacked account requires private specialist help.,yes,Human-approved label.,human_reviewed
2929230,@SpotifyCares @115888 why is alll my downloaded music getting totally wiped out after every single app update? This has been the third time this has happened since going premium a month ago,@810348 Hey there! We've just sent a DM your way. Let's carry on chatting there /MG,,product_service_issue,escalate,Downloaded music is being lost after updates and needs troubleshooting.,partly,Human-approved label.,human_reviewed
466072,@SpotifyCares hi just upgraded to premium family accidentally clicked upgrade twice worried I will be charged twice,@225890 Hey Nancy! Could you send us a DM with your account's email address? We'll take a look backstage /FR https://t.co/ldFdZRiNAt,,billing_payment,escalate,Possible duplicate Premium charge requires specialist review.,yes,Human-approved label.,human_reviewed
1919832,@115888 why do I have to resubmit a form of payment when switching from premium to student discount premium? Can't I just switch it over,"@571555 Hi Morgan, help has arrived. Can you DM us your account's email address or username? We'll take a look under the hood /ME https://t.co/ldFdZRiNAt",,billing_payment,escalate,Changing payment details for a Premium plan requires specialist review.,partly,Human-approved label.,human_reviewed
1855088,"@117153 How come I'm paying for a Premium account but my subscription type is still on ""free""?",@554969 Hi! Help's here. Can you DM us your account's username or email address? We'll take a look backstage /TC https://t.co/ldFdZRiNAt,,billing_payment,escalate,Premium payment and subscription mismatch require specialist review.,yes,Human-approved label.,human_reviewed
2920641,#SpotifyDown and I'm a premium too.... @115888 please fix issue!,"@808327 @115888 Hey Glenn, thanks for the report. We had a little hiccup earlier but everything should be running just fine now /YM",,product_service_issue,auto_handle,Known service outage with a directly supported resolution.,yes,Human-approved label.,human_reviewed
1487201,"@116380 My spotify account ""Zayyhh"" has been verified as a student account for several months now, but I am still being charged $11.99","@465406 Hey there, help's here! We'd like to share some info about your account. Could you send us a DM? 🙂 /FD https://t.co/ldFdZRiNAt",,billing_payment,escalate,Student billing discrepancy requires specialist review.,partly,Human-approved label.,human_reviewed
2986557,I want to know how to use spotify with the premium feature. So how? Answer?please? @115888,@823499 Hey Mylene! You can find all the info you need about the Premium features at https://t.co/gI3WMa6oZp. Hope this helps /NS,,information_request,auto_handle,A low-risk how-to question has a directly relevant answer.,yes,Human-approved label.,human_reviewed
2862732,@115888 Is it not possible to combine the discount from CapitalOne Quicksilver to the discount for being a student? I asked this question months ago through another method online and never got a response and continued to be billed the same amount which I had attempted to lower.,@795215 Hey! Sorry to hear that. Can you DM us your account's username or email address? We'll take a look under the hood /JS https://t.co/ldFdZRiNAt,,billing_payment,escalate,Discount and billing dispute require specialist review.,yes,Human-approved label.,human_reviewed
2754895,@SpotifyCares why can I not update my payment information due to card number change?,"@771094 Hi Shawn, help's here! Can you send us a DM with your account's username and email address? We'll take a look backstage /AV https://t.co/ldFdZRiNAt",,billing_payment,escalate,Payment-information change requires specialist review.,partly,Human-approved label.,human_reviewed
2052522,nanaginip ako. Bigla daw nag premium yung spotify ko. Akala ko totoo. Chineck ko kagad Spotify ko. @115888  make my dreams do come true.,"@607013 Hey there! If you haven't had a subscription before, you might want to check this out: https://t.co/zgnxs53efU 😁 /NS",,other,auto_handle,The message is playful and does not make a clear support request.,no,Human-approved label.,human_reviewed
1146225,"@118266 dear you, aku mau upgrade lagi ke premium karena pulsaku sempat abis tapi ga dapat pinnya padahal sudah berkali2 coba. Gimana ya?","@389796 Hey there! We can help out in English via Twitter, but we also have Indonesian support via email at https://t.co/ZgU70TbP8M /PL",,billing_payment,escalate,Failed Premium upgrade and missing PIN require specialist help.,partly,Human-approved label.,human_reviewed
380583,"@SpotifyCares if i already paid for the Spotify Premium but i want to upgrade to Spotify Premium for Family, i still need to pay again?",@206277 Hey there! Can you DM us your account's username or email address? We'll see what we can suggest /TC https://t.co/ldFdZRiNAt,,billing_payment,escalate,Premium upgrade and possible duplicate payment require specialist review.,partly,Human-approved label.,human_reviewed
2710065,@SpotifyCares my family account isn’t working for any members except mine after I updated payment information. Help!,@760979 Hey William! Help's here. Can you DM us the email addresses used for your family members' accounts? We'll check backstage /JL https://t.co/ldFdZRiNAt,,billing_payment,escalate,Family access failure followed a payment update and needs specialist review.,yes,Human-approved label.,human_reviewed
1772007,@SpotifyCares I’ve noticed that I’ve been charged for a Spotify charges even though I no longer have an active account,@532605 Hey Carl! Can you DM us your account's username and email address? We'll check backstage /JL https://t.co/ldFdZRiNAt,,billing_payment,escalate,Charge after cancellation requires specialist review.,partly,Human-approved label.,human_reviewed
1927969,"@SpotifyCares Hi! Just learned you bill my dad, Mel Tormé, as the ""Velvet Frog"" Hmmm...Please correct.  He was the one and only Velvet Fog.",@573769 Hi Daisy! Can you DM us your account's email address or username? A screenshot of what you're seeing will be super helpful too /GT https://t.co/ldFdZRiNAt,,billing_payment,escalate,Incorrect billing identity requires specialist review.,yes,Human-approved label.,human_reviewed
1649305,"@115888 @115888 $10 is a little steep, do you have any plans for cheaper?",@601247 2: Both offer great deals that might interest you. Hope this helps /RB,,information_request,auto_handle,A low-risk pricing question has a relevant answer.,yes,Human-approved label.,human_reviewed
1894867,@SpotifyCares the website and for some reason my membership was active? I have cancelled it now but don’t understand this?! Thanks,"@400256 Hey Lauren, help's here! Can you DM us your account's username or email address? We'll take a look under the hood /RS https://t.co/ldFdZRiNAt",,billing_payment,escalate,Unexpected membership billing status requires specialist review.,partly,Human-approved label.,human_reviewed
1083509,@SpotifyCares Can I purchase a year subscription as a gift without having my own subscription?,"@375587 Hey Ria! We sent you a DM, we'll be happy to help you there. Be sure to check it out 🙂 /KL",,information_request,auto_handle,"A low-risk gift-subscription question is informational, though the reply is incomplete.",partly,Human-approved label.,human_reviewed
1865013,@SpotifyCares I'm trying to add a family memeber to our family plan and it's saying the email address is in incorrect format.  It's not.,"@557195 Hey Jim, help's here! Could you DM us your username and email address? We'll take a look backstage for you /BX https://t.co/ldFdZRiNAt",,booking_order_change,escalate,Family-plan membership change failed and needs specialist follow-up.,partly,Human-approved label.,human_reviewed
1598720,"@SpotifyCares please make an option to change our spotify usernames, my middle school self is embarrassing",@491013 Hey there! Can you DM us your account's email address or username? We'll take a look /NS https://t.co/ldFdZRiNAt,,other,auto_handle,This is a feature request rather than a current account transaction.,no,Human-approved label.,human_reviewed
1264068,@SpotifyCares It was recently. What changed ?,@416015 Changes to licensing agreements can affect availability of tracks/albums/artists on certain countries. Hope this clears things up /AY,,other,auto_handle,The context is incomplete but the historical reply provides a plausible explanation.,yes,Human-approved label.,human_reviewed
2826950,"@SpotifyCares Everytime i buy the special offer, .99/3 months it wont load.  I click buyy now, entered and agreeed to not living in quebec and then click get premnium.  I then procced to PayPal, it load, i click pay now and it send me back to the origianl get premnium plans.","@785039 Hi, sorry for the delay in response. We've sent a DM your way. We'll carry on helping out there /AY",,billing_payment,escalate,Failed Premium purchase through PayPal requires specialist help.,partly,Human-approved label.,human_reviewed
345179,@115888 Meus downloads sempre sao cancelados por haver mais de 3 dispositivos conectados a minha conta. Porém nao ha. Por favor solucionem,@198121 @115888 Olá! Acabamos de responder a sua DM. Poderia dar uma olhada lá? /MW,,product_service_issue,escalate,Downloads are incorrectly blocked and need troubleshooting.,partly,Human-approved label.,human_reviewed
2822717,@SpotifyCares It doesn’t because you’re basically telling me to buy another device that does what the roku does just to listen to Spotify. Are there any plans on making Spotify work well and not look like trash on Rokus?,"@786588 We hear you. We don't have any plans for this at the moment but keep an eye out for any updates. If you need anything else, we'll be right here /VV",,information_request,auto_handle,A low-risk Roku capability question has a directly relevant answer.,yes,Human-approved label.,human_reviewed
552658,@115888 Wouldn’t hurt to give your £10/month subscribers a 99p month every now and then!!,"@250948 Hey Helen, we hear you! We don't have anything to announce at this time, but we’d recommend checking out our new Spotify Yearly discount - 12 months for the price of 10: https://t.co/LHTUu8url7 /TB",,other,auto_handle,This is promotional feedback rather than a specific transaction.,partly,Human-approved label.,human_reviewed
1971552,@SpotifyCares We are trying to add a member of the family to our family plan and he keeps getting an oops something went wrong everytime,"@583993 Hey Anton, help's here! Could you send us a DM with your account's email address or username? We'll take a look backstage /CH https://t.co/ldFdZRiNAt",,booking_order_change,escalate,Family-plan membership change failed and needs specialist follow-up.,partly,Human-approved label.,human_reviewed
2218843,@115888 can we start having #fireinthebooth 's on Spotify? #GameChanger,@648175 Hey James! Thanks for the feedback – we appreciate it. We’ll get this passed onto the right team 💚 /KT,,other,auto_handle,A low-risk content request has a relevant feedback response.,yes,Human-approved label.,human_reviewed
1264709,"@SpotifyCares Hiya, I’m running iOS 11.0.3, car is a ’17 BMW 1 Series, i tried them yeah, didnt seem to change anything!",@416145 Can you try reinstalling the app? You can follow the steps here: https://t.co/3FU57oyTNJ. Let us know if that helps /DR,,product_service_issue,escalate,Playback troubleshooting has already failed and needs specialist follow-up.,yes,Human-approved label.,human_reviewed
1423849,"@SpotifyCares i'm cancelling my subscription, yall need to get your local files shit together, none of my songs are downloading to my phone",@450862 Hey there! Can you let us know what's happening exactly? We'll see what we can suggest /PL,,product_service_issue,escalate,Local-file downloads are failing and need troubleshooting.,partly,Human-approved label.,human_reviewed
2872017,any plans to launch the official @115888 app in Egypt,"@797431 Hey there! We're launching in new countries as often as possible. Be sure to add your email at https://t.co/X8DVSX9QgM. If you have any other questions, just give us a shout 🙂 /KC",,information_request,auto_handle,A low-risk availability question has a relevant answer.,yes,Human-approved label.,human_reviewed
1492588,@115888 honestly my ocd is suffering yall need a button to change your username,@466614 Hey! Thanks for your feedback - we'll pass it on. You can also check this Community post for more info: https://t.co/8Is2HkMbcb /KM,,other,auto_handle,This is a low-risk username feature request.,yes,Human-approved label.,human_reviewed
2526445,"@115888 you still haven’t optimized your app for #iPhoneX , yet @115900 and @116450 two companies known for poor customer service have?! Makes no sense. Time to cancel... #getyouracttogether #spotify #fail",@639493 Sorry to hear that. We’re working on it as we speak. Stay tuned! /JS,,product_service_issue,escalate,The iPhone app is not working correctly and needs specialist follow-up.,partly,Human-approved label.,human_reviewed
184612,"@115888 how do I get a podcast list to refresh on the Mac app? I subscribe to podcasts, but when I click into a podcast that I subscribe to (filtered by ""All Episodes"") it seems to use a cached list. I have to quit the app and restart, and new episodes appear",@159460 2: Spotify versions you're using? We'll see what we can suggest /JE,,product_service_issue,escalate,The Mac app has a refresh defect requiring troubleshooting.,yes,Human-approved label.,human_reviewed
531769,"@SpotifyCares This guy named Young Summit re-posted @23568's song ""Right Now"" and changed it to ""Summit World"". 

Josh A's song was made in 2015 and the re-post was on November 10th of this year.

Please fix this. https://t.co/iIxfY4JV6g","@243193 Hi there! Thanks for the heads-up. Don't worry, the right team is currently looking into this. In the meantime, let us know if we can help with anything else /PK",,other,escalate,A possible content-rights issue needs specialist review.,yes,Human-approved label.,human_reviewed
1209315,@115888 I have an Xbox and you guys are blocking me from using my streaming subscription because it isn’t available in the BAHAMAS! WTF,@403893 Hey there! We're launching regularly in countries around the world. Sign up here to be first to hear: https://t.co/XDwWzj7cLP /AR,,information_request,auto_handle,The customer is asking about service availability by country.,partly,Human-approved label.,human_reviewed
1287119,@SpotifyCares It plays for about a song and a half and then the app shuts off. Also BT readout doesn't change songs on phone or in car/BT speakers.,@421056 Thanks for clarifying! Can you let us know your device/OS and Spotify version? We'll see what we can suggest /JP,,product_service_issue,escalate,"The app crashes and Bluetooth controls fail, requiring troubleshooting.",yes,Human-approved label.,human_reviewed
1284618,@SpotifyCares Hey ! I would like to publish playlist but often it is my username which is displayed and it is ridiculous. Could I change it?,"@420498 Hi Nicolas, help's here! Can you DM us your account's email address? We'll take a look backstage /PL https://t.co/ldFdZRiNAt",,other,escalate,The username-change request needs specialist follow-up.,partly,Human-approved label.,human_reviewed
8682,@SpotifyCares Tried an incognito Chrome window.  No change.  Work has blocked https://t.co/JoK7ESpKMg in Firefox,@117526 Hmm. Does logging in on a different device show the same issue? Keep us updated /PC,,product_service_issue,escalate,Work-network access is blocked and needs troubleshooting.,yes,Human-approved label.,human_reviewed
1161821,@115888 any news on an Apple Watch app?  Just got one and can’t use my subscription with it😢,@393338 2: add your vote to let our devs know it's something you'd like to see: https://t.co/SEK4E4gi22 /SY,,product_service_issue,escalate,The subscription cannot be used on the device and needs specialist follow-up.,partly,Human-approved label.,human_reviewed
1230468,@SpotifyCares You need to change the logo/icon for browser bookmarks to be more visible over a black background. Green logo or white lines?,@408594 Hey Ryan. Hope you don't mind if we ask for more info. What browser are you using? A screenshot of it would be cool too /QI,,other,auto_handle,This is a low-risk visual feature request.,yes,Human-approved label.,human_reviewed
479846,"@SpotifyCares Looks like just 'High' and 'All of Your Love' but the rest of the music under that particular artist is a little skeptical too. Half of it seems to be rap and the other half is instrumental, not sure if that's right either. Thanks for replying!","@229034 Thanks for the info. To make sure we're looking at the correct tracks, can you send us the links to them? Just tap the three dots &gt; Share &gt; Copy Link. We'll be right here waiting /AY",,complaint_feedback,auto_handle,Human-approved label recorded after explicit review.,yes,Human-approved label.,human_reviewed
2050205,@SpotifyCares Done. Thank you! I would love to have a Spotify app that is standalone on the series 3 watch.,"@282399 Cool! We appreciate your feedback, and we'll be sure to pass it on to the right folks. Let us know if we can help with anything else 🙂 /LM",,other,auto_handle,Human-approved label recorded after explicit review.,yes,Human-approved label.,human_reviewed
612067,"Can only do this on PC. Not on mobile unfortunately 

Hey @SpotifyCares please add this to mobile! I love this feature",@265540 Hey there! Thanks for the feedback. It's definitely something for the team to consider and we'll make sure it reaches them /NQ,,other,auto_handle,Human-approved label recorded after explicit review.,yes,Human-approved label.,human_reviewed
1346666,@SpotifyCares I'm already on the list. Can you please tell me when is expected (year) to do Spotify in Slovenia?,"@434032 We're working on this as we speak, but we don't have a release date yet. Stay awesome 😁 /MX",,information_request,auto_handle,Human-approved label recorded after explicit review.,yes,Human-approved label.,human_reviewed
2485968,"@115888 Please, is there a way to filter out Cover songs? My Spotify plays songs I even hate the originals of! It's getting quite ridiculous in my Discover Weekly. Sigh.",@710108 Hi Linda. Sorry to hear Discover Weekly wasn’t to your liking this week! It’ll be re-tuned on Monday. Check out Release Radar in the meantime /QI,,other,auto_handle,Human-approved label recorded after explicit review.,partly,Human-approved label.,human_reviewed
1999800,@115888 is lucky I love it so much that I'm willing to put up with having to redownload all songs every other month or so.,"@591304 Hey, sorry to hear that! Check out the steps under “Downloads unexpectedly removed” at https://t.co/38J7tFlIBF. They should help /RH",,product_service_issue,auto_handle,Human-approved label recorded after explicit review.,yes,Human-approved label.,human_reviewed
551318,"@SpotifyCares Would you be able to get some more video game soundtracks on Spotify? With how huge video games are, I am sure tons of people would love to just listen to some of the soundtracks!","@248475 Hey there! We’d love to have all the world's music available to you, but we have some info about content here: https://t.co/1dgftcFtzc. Hope this helps /LP",,other,auto_handle,Human-approved label recorded after explicit review.,partly,Human-approved label.,human_reviewed
1708814,Yo @115888 your app for iPhone X is a little weird...love the app tho,"@517800 Hey! Don't worry, we're on it. Our developers are looking into this, and we'll keep everyone updated /DF",,product_service_issue,escalate,Human-approved label recorded after explicit review.,yes,Human-approved label.,human_reviewed
2912532,@SpotifyCares okay dad love you,@806253 No problem! Just give us a shout if you need anything else. https://t.co/Rkb5PJblbW /JU,,other,auto_handle,Human-approved label recorded after explicit review.,yes,Human-approved label.,human_reviewed
1658079,"I wish @115888 had put @41743's new single #RoomForLove on their ""This is: Spice Girls"" playlist tbh","@505891 2: playlists, but we’ll pass on your suggestion /NQ",,complaint_feedback,auto_handle,Human-approved label recorded after explicit review.,yes,Human-approved label.,human_reviewed
1270439,"@115888 @SpotifyCares MAJOR Question: There is a lot of talk online about the Snowy app for Apple Watches. Has there been any development on that app? I love Spotify, but this lack of offline music is turning away many of your regular users. Any updates?","@417449 We hear you, Caleb! We don't have any info on this right now, but check out the official idea here: https://t.co/SEK4E4gi22. Add your vote to let our devs know it's something you'd like to see /CO",,information_request,auto_handle,Human-approved label recorded after explicit review.,yes,Human-approved label.,human_reviewed
115309,"@115888 @30165 Hey @115888 can you add @214907 's new single ""Tell Me You Love Me"" to  Today's Top Hits Playlist please since sorry not sorry isnt there anymore!!","@277063 Hey Alex, thanks for the feedback! Our Curation team are independent &amp; use taste, data, research, and trends to create playlists, but we’ll pass on your suggestion /LO",,complaint_feedback,auto_handle,Human-approved label recorded after explicit review.,yes,Human-approved label.,human_reviewed
2749490,"It would be amazing if @115888 could distill what it knows about each person's music interests (Discover Weekly, etc.) into small, highly focused online communities where we could talk about the music we love and share new music with the same ""flavor"".",@769812 Thanks for the feedback – we appreciate it! We’ll get this passed onto the right team 💚 /JS,,complaint_feedback,auto_handle,Human-approved label recorded after explicit review.,yes,Human-approved label.,human_reviewed
2646395,"Dear @115888,

If we wanted distorted audio, we'd use YouTube.  

~Disappointed Music listener, Eva.",@746651 Hi there! We've just sent you a bit more info over DM. We'll carry on helping out there /JM,,product_service_issue,escalate,Human-approved label recorded after explicit review.,partly,Human-approved label.,human_reviewed
2118744,Still disappointed at @115888 because @84461's past albums aren't either there or it's not available in PH itself. =/,"@624409 Hey there. We’d love to have all of their stuff available, but we have some info about content here: https://t.co/0i8GpimuDa /QI",,complaint_feedback,auto_handle,Human-approved label recorded after explicit review.,yes,Human-approved label.,human_reviewed
1507421,@115888 you should update your new releases page on the hourly. I hate needing to wait untill 9 am of every Friday to see the new releases,"@469872 We hear you loud and clear, Tyler! We can’t make any promises but we’ll pass your feedback onto the right folks /K",,complaint_feedback,auto_handle,Human-approved label recorded after explicit review.,yes,Human-approved label.,human_reviewed
